te_date,te_time,te_open,te_high,te_close,te_low,te_volume,predict
2021-01-12,04:15:00,15513.0,15503.0,15516.0,15500.0,744.0,1
2021-01-12,04:30:00,15505.0,15507.0,15513.0,15486.0,759.0,0
2021-01-12,04:45:00,15506.0,15513.0,15516.0,15505.0,294.0,0
2021-01-12,05:00:00,15513.0,15514.0,15514.0,15512.0,63.0,0
2021-01-12,08:45:00,15517.0,15542.0,15548.0,15511.0,8624.0,0
2021-01-12,09:00:00,15542.0,15577.0,15605.0,15520.0,15730.0,0
2021-01-12,09:15:00,15578.0,15481.0,15580.0,15474.0,17679.0,1
2021-01-12,09:30:00,15479.0,15496.0,15522.0,15466.0,12244.0,1
2021-01-12,09:45:00,15497.0,15528.0,15548.0,15475.0,9376.0,0
2021-01-12,10:00:00,15529.0,15533.0,15551.0,15523.0,4669.0,0
2021-01-12,10:15:00,15531.0,15553.0,15564.0,15504.0,6794.0,0
2021-01-12,10:30:00,15553.0,15570.0,15576.0,15545.0,6429.0,1
2021-01-12,10:45:00,15572.0,15566.0,15587.0,15531.0,8621.0,0
2021-01-12,11:00:00,15566.0,15543.0,15567.0,15525.0,5818.0,0
2021-01-12,11:15:00,15544.0,15516.0,15544.0,15503.0,7259.0,1
2021-01-12,11:30:00,15517.0,15475.0,15518.0,15445.0,14078.0,1
2021-01-12,11:45:00,15476.0,15464.0,15478.0,15419.0,10111.0,1
2021-01-12,12:00:00,15465.0,15494.0,15498.0,15452.0,5337.0,0
2021-01-12,12:15:00,15495.0,15472.0,15505.0,15470.0,4766.0,0
2021-01-12,12:30:00,15472.0,15454.0,15487.0,15441.0,5848.0,0
2021-01-12,12:45:00,15453.0,15460.0,15473.0,15427.0,7001.0,1
2021-01-12,13:00:00,15460.0,15473.0,15476.0,15407.0,10158.0,1
2021-01-12,13:15:00,15473.0,15474.0,15487.0,15465.0,6585.0,0
2021-01-12,13:30:00,15473.0,15489.0,15498.0,15468.0,6233.0,0
2021-01-12,13:45:00,15490.0,15493.0,15494.0,15485.0,798.0,0
2021-01-12,15:00:00,15500.0,15516.0,15519.0,15499.0,2335.0,0
2021-01-12,15:15:00,15515.0,15529.0,15531.0,15511.0,1288.0,0
2021-01-12,15:30:00,15529.0,15524.0,15534.0,15520.0,1121.0,0
2021-01-12,15:45:00,15523.0,15524.0,15527.0,15513.0,664.0,1
2021-01-12,16:00:00,15525.0,15520.0,15528.0,15519.0,548.0,0
2021-01-12,16:15:00,15520.0,15517.0,15522.0,15508.0,789.0,0
2021-01-12,16:30:00,15515.0,15517.0,15519.0,15509.0,497.0,0
2021-01-12,16:45:00,15517.0,15514.0,15519.0,15505.0,516.0,0
2021-01-12,17:00:00,15515.0,15519.0,15522.0,15510.0,513.0,0
2021-01-12,17:15:00,15520.0,15518.0,15525.0,15518.0,367.0,0
2021-01-12,17:30:00,15519.0,15521.0,15527.0,15519.0,339.0,0
2021-01-12,17:45:00,15522.0,15523.0,15531.0,15520.0,611.0,0
2021-01-12,18:00:00,15523.0,15520.0,15526.0,15519.0,316.0,0
2021-01-12,18:15:00,15520.0,15522.0,15524.0,15518.0,167.0,0
2021-01-12,18:30:00,15521.0,15520.0,15524.0,15520.0,111.0,0
2021-01-12,18:45:00,15520.0,15516.0,15525.0,15516.0,256.0,0
2021-01-12,19:00:00,15516.0,15514.0,15520.0,15511.0,320.0,0
2021-01-12,19:15:00,15514.0,15520.0,15521.0,15512.0,239.0,0
2021-01-12,19:30:00,15520.0,15518.0,15521.0,15516.0,104.0,0
2021-01-12,19:45:00,15517.0,15515.0,15520.0,15514.0,124.0,0
2021-01-12,20:00:00,15516.0,15515.0,15519.0,15515.0,152.0,0
2021-01-12,20:15:00,15515.0,15518.0,15520.0,15512.0,213.0,0
2021-01-12,20:30:00,15518.0,15523.0,15524.0,15515.0,336.0,0
2021-01-12,20:45:00,15523.0,15527.0,15530.0,15522.0,421.0,0
2021-01-12,21:00:00,15527.0,15523.0,15528.0,15523.0,196.0,0
2021-01-12,21:15:00,15523.0,15516.0,15525.0,15516.0,339.0,0
2021-01-12,21:30:00,15516.0,15513.0,15522.0,15512.0,350.0,0
2021-01-12,21:45:00,15513.0,15505.0,15519.0,15501.0,705.0,0
2021-01-12,22:00:00,15505.0,15499.0,15510.0,15494.0,1462.0,1
